都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
大阪府,大阪市中央区,274,0,0,0,0,0,0,1,0,0,-1,-1,-1,-4,-2,2,0,0,8,0,7,3,2,3,0,4,7,7,3,3,3,0,0,2,24,1,5,3,7,2,2,0,23,2,12,1,7,2,0,3,2
大阪府,堺市堺区,53,1,0,1,0,0,0,0,0,1,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0
大阪府,堺市中区,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0
大阪府,堺市東区,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大阪府,堺市西区,49,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,2,1,1,1,1,0,2,0,4,1,0
大阪府,堺市南区,40,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,2,3,6,2,2,0,1,1,0
大阪府,堺市北区,40,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,0,0,-1,1,0,0
大阪府,堺市美原区,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
大阪府,岸和田市,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,3,0,0,1,4,0,2,1,0,1,0
大阪府,豊中市,89,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,4,5,4,4,2,20,8,7,0
